file,MAE,error
000802.pth,978927.1875,
000803.pth,978936.6875,
000804.pth,978953.875,
000805.pth,978972.1875,
000806.pth,979033.6875,
000807.pth,979029.3125,
000808.pth,979019.625,
000809.pth,979005.375,
000810.pth,978996.0,
000811.pth,979000.5,
000812.pth,979013.3125,
000813.pth,979030.5,
000814.pth,979043.5,
000815.pth,979043.6875,
000816.pth,979042.125,
000817.pth,,'Ground truth not found'
000818.pth,,'Ground truth not found'
000819.pth,,'Ground truth not found'
000820.pth,,'Ground truth not found'
000821.pth,,'Ground truth not found'
000822.pth,,'Ground truth not found'
000823.pth,,'Ground truth not found'
000824.pth,,'Ground truth not found'
000825.pth,,'Ground truth not found'
000826.pth,,'Ground truth not found'
000827.pth,,'Ground truth not found'
000828.pth,,'Ground truth not found'
000829.pth,,'Ground truth not found'
000830.pth,,'Ground truth not found'
000831.pth,,'Ground truth not found'
000832.pth,978890.0,
000833.pth,978859.625,
000834.pth,978798.6875,
000835.pth,978752.625,
000836.pth,978853.125,
000837.pth,978868.0,
000838.pth,978799.5,
000839.pth,978793.625,
000840.pth,978855.6875,
000841.pth,978908.8125,
000842.pth,978919.125,
000843.pth,978952.625,
000844.pth,978934.0,
000845.pth,978930.8125,
000846.pth,978915.625,
000847.pth,978884.625,
000848.pth,978841.1875,
000849.pth,978834.125,
000850.pth,978856.0,
000851.pth,978909.0,
000852.pth,978879.6875,
000853.pth,978879.3125,
000854.pth,978892.875,
000855.pth,978922.0,
000856.pth,978938.625,
000857.pth,978954.3125,
000858.pth,978956.1875,
000859.pth,978961.625,
000860.pth,978997.3125,
000861.pth,978988.6875,
000862.pth,978973.3125,
000863.pth,978970.0,
000864.pth,978963.3125,
000865.pth,978958.5,
000866.pth,978947.125,
000867.pth,978934.8125,
000868.pth,978936.8125,
000869.pth,978941.125,
000870.pth,979004.1875,
000871.pth,978981.6875,
000872.pth,978974.1875,
000873.pth,978965.8125,
000874.pth,978965.625,
000875.pth,978962.625,
000876.pth,978962.5,
000877.pth,978971.625,
000878.pth,978986.5,
000879.pth,979002.6875,
000880.pth,979024.5,
000881.pth,,'Ground truth not found'
000882.pth,,'Ground truth not found'
000883.pth,,'Ground truth not found'
000884.pth,,'Ground truth not found'
000885.pth,,'Ground truth not found'
000886.pth,,'Ground truth not found'
000887.pth,,'Ground truth not found'
000888.pth,,'Ground truth not found'
000889.pth,,'Ground truth not found'
000890.pth,,'Ground truth not found'
000891.pth,,'Ground truth not found'
000892.pth,,'Ground truth not found'
000893.pth,,'Ground truth not found'
000894.pth,,'Ground truth not found'
000895.pth,,'Ground truth not found'
000896.pth,978873.6875,
000897.pth,978798.625,
000898.pth,978771.1875,
000899.pth,978761.125,
000900.pth,978798.6875,
000901.pth,978864.375,
000902.pth,978833.875,
000903.pth,978809.0,
000904.pth,978803.375,
000905.pth,978808.875,
000906.pth,978841.125,
000907.pth,978952.0,
000908.pth,978895.8125,
000909.pth,978852.0,
000910.pth,978836.625,
000911.pth,978838.8125,
000912.pth,978834.875,
000913.pth,978857.375,
000914.pth,978885.375,
000915.pth,978949.1875,
000916.pth,978926.3125,
000917.pth,978903.6875,
000918.pth,978887.8125,
000919.pth,978888.625,
000920.pth,978885.3125,
000921.pth,978892.625,
000922.pth,978913.5,
000923.pth,978951.625,
000924.pth,979008.5,
000925.pth,978985.6875,
000926.pth,978959.1875,
000927.pth,978946.875,
000928.pth,978943.0,
000929.pth,978951.1875,
000930.pth,978953.875,
000931.pth,978952.8125,
000932.pth,978966.625,
000933.pth,978978.5,
000934.pth,979001.875,
000935.pth,978996.375,
000936.pth,979003.3125,
000937.pth,979003.125,
000938.pth,979005.5,
000939.pth,979006.0,
000940.pth,979000.6875,
000941.pth,978997.625,
000942.pth,978999.8125,
000943.pth,979015.0,
000944.pth,979029.1875,
000945.pth,,'Ground truth not found'
000946.pth,,'Ground truth not found'
000947.pth,,'Ground truth not found'
000948.pth,,'Ground truth not found'
000949.pth,,'Ground truth not found'
000950.pth,,'Ground truth not found'
000951.pth,,'Ground truth not found'
000952.pth,,'Ground truth not found'
000953.pth,,'Ground truth not found'
000954.pth,,'Ground truth not found'
000955.pth,,'Ground truth not found'
000956.pth,,'Ground truth not found'
000957.pth,,'Ground truth not found'
000958.pth,,'Ground truth not found'
000959.pth,,'Ground truth not found'
000960.pth,978805.1875,
000961.pth,978737.375,
000962.pth,978692.0,
000963.pth,978673.625,
000964.pth,978732.8125,
000965.pth,978748.375,
000966.pth,978699.5,
000967.pth,978691.125,
000968.pth,978707.0,
000969.pth,978730.375,
000970.pth,978765.375,
000971.pth,978838.0,
000972.pth,978793.1875,
000973.pth,978763.125,
000974.pth,978746.625,
000975.pth,978736.625,
000976.pth,978728.625,
000977.pth,978731.1875,
000978.pth,978753.5,
000979.pth,978817.8125,
000980.pth,978783.125,
000981.pth,978771.375,
000982.pth,978769.3125,
000983.pth,978774.0,
000984.pth,978776.375,
000985.pth,978782.625,
000986.pth,978805.125,
